recipe_id,recipe_name,category,cuisine,dietary_restrictions,difficulty,prep_time_mins,cook_time_mins,total_time_mins,servings,calories,protein_g,carbs_g,fat_g,rating,num_reviews,ingredients,equipment_needed,author,date_added
RCP00001,Creamy Noodles,Breakfast,Spanish,Dairy-Free,Medium,16,161,177,4,1166,76.6,14.5,80.7,4.5,3462,"BEEF, ONIONS, ZUCCHINI, BROCCOLI, SPINACH, PAPRIKA, THYME","blender, stovetop",Bob Johnson,11/10/2024
RCP00002,Crispy Rice Bowl,Dessert,Chinese,None,Hard,92,93,185,4,185,59.6,64.3,99.7,2.3,3758,"beef, onions, pasta, pepper, paprika","slow cooker, oven, blender",mary smith,07/01/2026
RCP00003,Creamy Cake,Snack,Greek,None,Medium,104,145,249,8,,5.5,19.3,26.5,2.2,645,"fish, lettuce, broccoli, flour, cinnamon, salt, pepper","slow cooker, grill, microwave",Chef John,10/16/2024
RCP00004,Bread,Dessert,Vietnamese,None,Expert,59,115,174,11,744,35.5,7.6,96.9,3.1,3789,bell peppers; mushrooms; noodles; cumin; paprika,"oven, pressure cooker, air fryer, mixer",Emily Chen,23/11/2023
RCP00005,Curry,Dinner,Italian,None,Easy,115,70,185,10,908,24,10.9,99.6,2,2175,"lamb, garlic, spinach, onions","mixer, grill",chef john,02/07/2025
RCP00006,Roast,Snack,Italian,None,Hard,,,,5,1198,46.6,46.2,86.1,,1221,"fish, spinach, cumin, pepper, thyme","stovetop, food processor",Emily Chen,11/12/2025
RCP00007,Savory Sandwich,Dessert,Thai,None,Medium,40,231,271,6,1148,,118,11.6,-0.2,2174,"chicken, tomatoes, zucchini, potatoes, carrots, rice, basil, cinnamon, salt","microwave, blender, food processor, pressure cooker",Mary Smith,17/10/2023
RCP00008,Sweet Grilled,Dessert,Japanese,None,Hard,65,213,278,3,736,68,94.5,49.4,2.2,378,"chicken, bell peppers, noodles, cinnamon, salt, oregano","microwave, slow cooker, pressure cooker, air fryer",emily chen,24/06/2023
RCP00009,Sweet Noodles,Salad,Greek,Low-Carb,Easy,119,148,267,7,884,30.4,,85.3,4.3,160,"lamb, mushrooms, carrots, quinoa, butter, thyme, basil, pepper, paprika","blender, food processor",Emily Chen,16/11/2023
RCP00010,Tangy Tacos,Appetizer,Vietnamese,None,Hard,15,130,145,,190,9.2,38.4,96.4,4.8,1248,pork; onions; cauliflower; tomatoes; thyme; basil; pepper,oven,Sarah Wilson,20/09/2024
RCP00011,Tangy Casserole,Lunch,Mediterranean,None,Easy,51,172,223,3,603,6.9,69.7,2.9,2.9,2640,fish; broccoli; spinach; lettuce; salt; oregano; pepper,grill|food processor|air fryer|microwave,emily chen,21/10/2023
RCP00012,Fried,Appetizer,Japanese,None,Hard,34,40,74,12,493,24.2,6.8,,4,1590,"POTATOES, MUSHROOMS, RICE, CINNAMON, PAPRIKA, CUMIN","blender, stovetop",Chef John,05-28-23
RCP00013,Herb Salad,Dessert,Vietnamese,None,Expert,59,88,147,12,591,23.3,105.4,92.4,1.3,,"bell peppers, onions, cumin, salt, thyme","stovetop, oven, food processor",Emily Chen,18/06/2024
RCP00014,Sweet Rice Bowl,Breakfast,Mexican,Vegetarian,Hard,71,176,247,10,1012,60.8,,11.6,4.4,2361,"lamb, potatoes, paprika, oregano","air fryer, grill, microwave, slow cooker",emily chen,17/10/2025
RCP00015,Herb Cookies,Lunch,Indian,None,Easy,68,193,261,7,1178,21.4,,58,4,3399,"pork, zucchini, mushrooms, spinach, cauliflower, basil, thyme, pepper","microwave, slow cooker, oven, stovetop",Emily Chen,
RCP00016,Tangy Bread,Lunch,Thai,Low-Carb,Easy,24,29,53,6,722,,,99.7,2.3,4432,beef; mushrooms; bread; basil; thyme,food processor|grill,Sarah Wilson,27/01/2024
RCP00017,Crispy Bread,Dessert,Thai,None,Expert,-5,-31,-36,3,662,28.7,3.3,0.8,4.4,3958,"cauliflower, paprika, oregano, cumin",,mary smith,25/04/2025
